Name,_,_,Sport,League,Facebook,Instagram,Twitter,Youtube,TikTok,Weibo,Total
Cristiano Ronaldo,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,Football,Serie A,124640541,263595063,91256460,1720000,,7484868,488696932
Lionel Messi,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,Football,La Liga,90918049,185312265,,1040000,,6609462,283879776
Neymar,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,Football,Ligue 1,60038982,146862499,52162175,2520000,,6310271,267893927
Andrés Iniesta,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,Football,J1 League,25822220,35909205,25150369,,,,86881794
Mesut Özil,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,Football,Premier League,31391222,24089841,26082980,246000,397,3997301,85807741
Zlatan Ibrahimovic,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/se.png,Football,Serie A,26387545,46660849,7401345,,,,80449739
Mohamed Salah,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/eg.png,Football,Premier League,12975535,41620658,13995504,,,,68591697
Paul Pogba,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,Football,Premier League,8166176,43138742,8331948,,,4623820,64260686
Kylian Mbappé,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,Football,Ligue 1,3211325,47533160,5787326,178000,,,56709811
Sergio Agüero,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,Football,Premier League,10977957,15280470,14043054,2540000,,4617525,47459006
Eden Hazard,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,Football,La Liga,10122960,27219915,7035902,,,,44378777
Robert Lewandowski,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/pl.png,Football,Bundesliga I,17385574,20460708,1552843,14800,3900000,,43313925
Harry Kane,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,Football,Premier League,2124370,10113125,3101308,,,3170843,18509646
Vinícius Júnior,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,Football,La Liga,5759188,0,2032195,,2300000,,10091383
Ander Herrera,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,Football,Ligue 1,3012574,3958215,2756280,,,,9727069
Alexis Sánchez,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/cl.png,Football,Serie A,4828006,0,2921356,18800,,,7768162
Aaron Ramsey,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/Wales.png,Football,Serie A,4434588,0,3257852,,,,7692440
Jadon Sancho,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,Football,Bundesliga I,351393,5260516,544843,,,,6156752
Hakim Ziyech,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ma.png,Football,Premier League,471456,4110265,1175,,,,4582896
Edin Dzeko,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ba.png,Football,Serie A,2906608,0,1511707,,,,4418315
Alphonso Davies,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ca.png,Football,Bundesliga I,20815,0,256950,,3400000,,3677765
Gianluigi Donnarumma,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/it.png,Football,Serie A,1516151,1930714,161055,,,,3607920
