Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Média de Age,Position,games_appearances,mins_played,Tackle success rate weighted by total_tackle per _Season - Club - Competition,TACKLES (succesful) per 90 mins weighted by mins_played per _Season - Club - Competition,Média de CLEARANCES per 90 mins,INTERCEPTIONS per 90 mins weighted by mins_played per _Season - Club - Competition,BLOCKS per 90 mins weighted by mins_played per _Season - Club - Competition,BALL RECOVERY per 90 mins weighted by mins_played per _Season - Club - Competition,FOULS per 90 mins weighted by mins_played per _Season - Club - Competition,won_tackle,Blocked shots/passes/crosses,total_clearance,interception,ball_recovery,own_goals,error_lead_to_goal,penalty_conceded
Kylian Mbappé,2016/2017 - Monaco,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,1500,88%,0.4200000000000001,0.36,0.24,1.5599999999999996,3.42,0.54,7,26,6,4,57,,,
Kylian Mbappé,2016/2017 - Monaco,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,9,536,,,0.16791044776119401,0.33582089552238803,1.1753731343283582,1.5111940298507462,0.33582089552238803,,7,1,2,9,,,
Kylian Mbappé,2017/2018 - Monaco,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,1,75,100%,1.2000000000000002,,1.2000000000000002,2.4000000000000004,4.800000000000001,,1,2,,1,4,,,
Kylian Mbappé,2017/2018 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,27,2097,73%,0.34334763948497854,0.04291845493562232,,1.4163090128755365,2.7467811158798283,0.42918454935622313,8,33,1,,64,,,
Kylian Mbappé,2017/2018 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,8,658,100%,0.2735562310030395,0.13677811550151975,0.547112462006079,2.5987841945288754,3.556231003039514,0.41033434650455924,2,19,1,4,26,,,
Kylian Mbappé,2018/2019 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,2342,50%,0.1537147736976943,0.07685738684884715,0.1537147736976943,1.6140051238257898,1.6908625106746369,0.7301451750640479,4,42,2,4,44,,,
Kylian Mbappé,2018/2019 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,8,701,,,,0.12838801711840228,1.1554921540656204,1.9258202567760343,0.25677603423680456,,9,,1,15,,,
Kylian Mbappé,2019/2020 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,20,1514,29%,0.11889035667107001,,0.178335535006605,1.3672391017173051,1.9616908850726553,0.6538969616908851,2,23,,3,33,,,
Kylian Mbappé,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,10,652,100%,0.5521472392638037,,0.13803680981595093,1.2423312883435582,3.8650306748466257,0.6901840490797546,4,9,0,1,28,0,0,0
Kylian Mbappé,2020/2021 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,9,606,50%,0.1485148514851485,,,2.0792079207920793,1.485148514851485,0.44554455445544555,1,14,0,0,10,0,0,0
Kylian Mbappé,2020/2021 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,5,449,0%,,0.20044543429844097,,2.8062360801781736,1.804008908685969,0.20044543429844097,0,14,1,0,9,0,0,0
Harry Kane,2016/2017 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,30,2531,68%,0.5333860134334255,0.7467404188067958,0.14223627024891347,2.4535756617937574,2.418016594231529,0.8178585539312525,15,69,21,4,68,,,
