Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,FOULS per 90 mins weighted by mins_played per _Season - Club - Competition,fouls,was_fouled,Foul committed / Was fouled ratio weighted by was_fouled per _Season - Club - Competition,yellow_card,red_card
Jefferson Lerma,2017/2018 - Levante,Spanish La Liga,€,13.1,AFC Bournemouth,Colombia,"26,31",DM,26,2137,2.3163313055685544,55,51,1.0784313725490196,16,0
Nicolò Barella,2017/2018 - Cagliari,Italian Serie A,€,60.5,FC Internazionale Milano,Italy,"24,02",CM,34,2964,2.3684210526315788,78,64,1.21875,13,1
Jefferson Lerma,2018/2019 - Bournemouth,English Premier League,€,13.1,AFC Bournemouth,Colombia,"26,31",DM,30,2510,1.5418326693227091,43,51,0.8431372549019608,12,
Theo Hernández,2016/2017 - Alavés,Spanish La Liga,€,52.8,AC Milan,France,"23,36",LB,32,2725,0.8587155963302753,26,55,0.4727272727272727,12,1
Casemiro,2019/2020 - Real Madrid,Spanish La Liga,€,71.8,Real Madrid CF,Brazil,"28,98",DM,35,3090,2.5339805825242716,87,65,1.3384615384615384,11,
Diogo Jota,2018/2019 - Wolverhampton Wanderers,English Premier League,€,58.1,Liverpool FC,Portugal,"24,20",LW,33,2368,1.5962837837837838,42,55,0.7636363636363637,11,
Gabriel Barbosa,2019/2020 - Flamengo,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,29,2544,0.7429245283018868,21,29,0.7241379310344828,11,1
Gabriel Jesus,2016/2017 - Palmeiras,Brazilian Serie A,€,73.1,Manchester City FC,Brazil,"23,87",FW,27,2319,2.833117723156533,73,88,0.8295454545454546,11,0
Jefferson Lerma,2019/2020 - Bournemouth,English Premier League,€,13.1,AFC Bournemouth,Colombia,"26,31",DM,33,2709,1.3953488372093024,42,37,1.135135135135135,11,1
Lucas Ocampos,2018/2019 - Marseille,French Ligue 1,€,52,Sevilla FC,Argentina,"26,60",RW,34,2714,1.6912306558585115,51,64,0.796875,11,
Nicolò Barella,2019/2020 - Internazionale,Italian Serie A,€,60.5,FC Internazionale Milano,Italy,"24,02",CM,27,2013,1.743666169895678,39,37,1.054054054054054,11,
Rúben Neves,2017/2018 - Wolverhampton Wanderers,English Football League - Championship,€,51.1,Wolverhampton Wanderers FC,Portugal,"23,92",DM,42,3620,1.0193370165745856,41,33,1.2424242424242424,11,1
Aymeric Laporte,2016/2017 - Athletic Club,Spanish La Liga,€,67.5,Manchester City FC,France,"26,72",CB,33,2865,0.8795811518324608,28,34,0.8235294117647058,10,0
Harry Wilson,2018/2019 - Derby County,English Football League - Championship,€,15.3,Cardiff City FC,Wales,"23,90",RW,43,3452,0.9907300115874855,38,116,0.3275862068965517,10,
