Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,Clean sheets,goals_conceded,Saves per 90 mins weighted by mins_played per _Season - Club - Competition,Média de saves,Average of Save % (overall) weighted by Total attempts faced per _Season - Club - Competition,Average of Save % (attempts outside the box) weighted by Total attempts faced (obox) per _Season - Club - Competition,Average of Save % (attempts in the box) weighted by Total attempts faced (ibox) per _Season - Club - Competition,Penalty save % weighted by penalty_faced per _Season - Club - Competition,penalty_save,penalty_faced
Jan Oblak,2016/2017 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,30,2650,15,21,"2,1",63,"75,0%","77,8%","73,7%",25%,1,4
Jan Oblak,2016/2017 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,11,990,6,7,"3,4",37,"84,1%","92,3%","80,6%",100%,1,1
Jan Oblak,2017/2018 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,37,3330,22,22,"2,9",109,"83,2%","96,2%","73,0%",75%,3,4
Jan Oblak,2017/2018 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,6,540,3,4,"2,3",14,"77,8%","100,0%","63,6%",,,
Jan Oblak,2017/2018 - Atlético de Madrid,UEFA Europa League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,6,540,4,2,"3,7",22,"91,7%","100,0%","83,3%",,,
Jan Oblak,2018/2019 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,37,3330,20,27,"2,8",105,"79,5%","97,4%","72,0%",,,5
Jan Oblak,2018/2019 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,8,720,4,9,"1,3",10,"52,6%","75,0%","36,4%",,,2
Jan Oblak,2019/2020 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,38,3396,17,27,"2,4",89,"76,7%","86,3%","68,3%",,,4
Jan Oblak,2019/2020 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,9,840,4,9,"2,5",23,"71,9%","81,8%","65,0%",,0,0
Jan Oblak,2020/2021 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,10,900,8,2,"3,4",34,"94,4%","100,0%","90,5%",,0,0
Jan Oblak,2020/2021 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,6,540,2,8,"1,2",7,"46,7%","75,0%","36,4%",0%,0,2
Alisson,2016/2017 - Internacional,Brazilian Serie A,€,77.5,Liverpool FC,Brazil,"28,37",GK,1,90,1,,"1,0",1,"100,0%","100,0%",,,,
Alisson,2016/2017 - Roma,Italian Serie A,€,77.5,Liverpool FC,Brazil,"28,37",GK,0,,,,,,,,,,,
Alisson,2016/2017 - Roma,UEFA Europa League,€,77.5,Liverpool FC,Brazil,"28,37",GK,10,900,3,13,"4,2",42,"76,4%","92,6%","60,7%",,,
Alisson,2017/2018 - Roma,Italian Serie A,€,77.5,Liverpool FC,Brazil,"28,37",GK,37,3330,17,28,"2,9",109,"79,6%","93,0%","72,8%",40%,2,5
Alisson,2017/2018 - Roma,UEFA Champions League,€,77.5,Liverpool FC,Brazil,"28,37",GK,12,1080,5,19,"3,8",46,"70,8%","84,2%","65,2%",,,
Alisson,2018/2019 - Liverpool,English Premier League,€,77.5,Liverpool FC,Brazil,"28,37",GK,38,3420,21,22,"2,0",76,"77,6%","96,0%","70,4%",,,1
Alisson,2018/2019 - Liverpool,UEFA Champions League,€,77.5,Liverpool FC,Brazil,"28,37",GK,13,1170,6,12,"3,5",46,"79,3%","90,0%","73,0%",,,
Alisson,2019/2020 - Liverpool,English Premier League,€,77.5,Liverpool FC,Brazil,"28,37",GK,29,2545,13,23,"2,1",58,"71,6%","100,0%","58,2%",,,1
Alisson,2019/2020 - Liverpool,UEFA Champions League,€,77.5,Liverpool FC,Brazil,"28,37",GK,5,450,1,4,"2,6",13,"76,5%","100,0%","69,2%",,0,0
Alisson,2020/2021 - Liverpool,English Premier League,€,77.5,Liverpool FC,Brazil,"28,37",GK,8,720,2,8,"1,9",15,"65,2%","100,0%","61,9%",20%,1,5
