Player,Season - Club played for,Competition name,Value currency (million),Market value,Current club (20/21 season),Player nationality,Player age,Position,games_appearances,mins_played,goals,goal_assist,Average of Attempts per 90 mins weighted by mins_played per _Season - Club - Competition,total_scoring_att,Average of Attempts on target weighted by mins_played per _Season - Club - Competition,Average of Conversion rate weighted by total_scoring_att per _Season - Club - Competition,Big chances missed,Average of Minute per goal weighted by goals per _Season - Club - Competition,Average of Minute per assist weighted by goals per _Season - Club - Competition,Average of Minute per goal or assist weighted by goals per _Season - Club - Competition,Dribbles per 90 minutes weighted by mins_played per _Season - Club - Competition,Offsides per 90 mins weighted by mins_played per _Season - Club - Competition,Was fouled per 90 mins weighted by mins_played per _Season - Club - Competition,att_pen_goal,Penalties missed,Average of Penalty conversion rate weighted by mins_played per _Season - Club - Competition
Lionel Messi,2016/2017 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,34,2832,37,9,5.688559322033898,179,"43,0%","20,7%",11,77,315,62,4.004237288135593,0.09533898305084745,2.510593220338983,6,1,"85,7%"
Ciro Immobile,2019/2020 - Lazio,Italian Serie A,€,51.6,SS Lazio,Italy,"30,99",FW,37,3175,36,9,4.025196850393701,142,"50,0%","25,4%",20,88,353,71,0.6519685039370079,0.5952755905511811,1.0771653543307087,14,1,"93,3%"
Lionel Messi,2018/2019 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,34,2710,36,13,5.678966789667897,171,"50,9%","21,1%",13,75,208,55,4.450184501845019,0.5645756457564576,2.1918819188191883,4,1,"80,0%"
Lionel Messi,2017/2018 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,36,2996,34,12,5.917890520694259,197,"48,7%","17,3%",18,88,250,65,5.557409879839787,0.39052069425901204,2.403204272363151,2,2,"50,0%"
Robert Lewandowski,2019/2020 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,31,2762,34,4,4.496741491672701,138,"50,0%","24,6%",25,81,691,73,1.889934829833454,0.55394641564084,1.4011585807385953,5,,"100,0%"
Kylian Mbappé,2018/2019 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,2342,33,7,4.8035866780529455,125,"56,8%","26,4%",27,71,335,59,2.497865072587532,1.1528608027327072,1.6908625106746369,1,1,"50,0%"
Mohamed Salah,2017/2018 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,36,2921,32,10,4.436836699760356,144,"46,5%","22,2%",23,91,292,70,2.434097911674084,0.5237932214994865,0.8935296131461826,1,1,"50,0%"
Cristiano Ronaldo,2019/2020 - Juventus,Italian Serie A,€,63.9,Juventus FC,Portugal,"36,03",LW,33,2919,31,5,6.413155190133609,208,"38,5%","14,9%",16,94,584,81,1.634121274409044,0.9558067831449125,1.788283658787256,12,1,"92,3%"
Pierre-Emerick Aubameyang,2016/2017 - Borussia Dortmund,German Bundesliga,€,39.5,Arsenal FC,Gabon,"31,66",FW,32,2781,31,2,3.7540453074433655,116,"56,0%","26,7%",25,90,1391,84,0.6472491909385113,0.9708737864077671,0.6796116504854369,2,2,"50,0%"
Harry Kane,2017/2018 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,37,3083,30,2,5.371391501783977,184,"41,3%","16,3%",18,103,1542,96,1.3720402205643853,1.2260784949724293,1.167693804735647,2,1,"66,7%"
Robert Lewandowski,2016/2017 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,33,2777,30,5,4.634497659344616,143,"39,2%","21,0%",27,93,555,79,1.0694994598487575,0.8750450126035292,1.8149081742888005,5,,"100,0%"
Ciro Immobile,2017/2018 - Lazio,Italian Serie A,€,51.6,SS Lazio,Italy,"30,99",FW,33,2696,29,9,3.672106824925816,110,"49,1%","26,4%",11,93,300,71,0.8345697329376854,1.435459940652819,1.201780415430267,7,1,"87,5%"
Harry Kane,2016/2017 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,30,2531,29,7,3.9114974318451203,110,"52,7%","26,4%",11,87,362,70,1.351244567364678,0.6045041485578823,1.6001580403002766,5,1,"83,3%"
Mauro Icardi,2017/2018 - Internazionale,Italian Serie A,€,41.5,Paris Saint-Germain FC,Argentina,"27,99",FW,34,2968,29,1,3.06266846361186,101,"52,5%","28,7%",16,102,2968,99,0.3032345013477089,0.8490566037735847,0.7277628032345014,6,1,"85,7%"
Robert Lewandowski,2017/2018 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,30,2169,29,2,5.269709543568465,127,"44,1%","22,8%",21,75,1085,70,0.7883817427385892,1.037344398340249,1.5352697095435683,6,1,"85,7%"
Dusan Tadic,2018/2019 - Ajax,Dutch Eredivisie,€,21.7,AFC Ajax,Serbia,"32,24",LW,34,2909,28,13,2.3513234788587143,76,"63,2%","36,8%",7,104,224,71,1.4850464077002405,0.4640770024063252,1.515984874527329,11,1,"91,7%"
Timo Werner,2019/2020 - RB Leipzig,German Bundesliga,€,88.2,Chelsea FC,Germany,"24,94",FW,34,2807,28,8,3.9437121482009263,123,"52,0%","22,8%",21,100,351,78,1.859636622728892,1.3786961168507303,0.929818311364446,3,,"100,0%"
Cristiano Ronaldo,2017/2018 - Real Madrid,Spanish La Liga,€,63.9,Juventus FC,Portugal,"36,03",LW,27,2292,26,5,6.989528795811518,178,"43,3%","14,6%",22,88,458,74,1.2172774869109948,1.5706806282722514,0.706806282722513,3,1,"75,0%"
Cristiano Ronaldo,2016/2017 - Real Madrid,Spanish La Liga,€,63.9,Juventus FC,Portugal,"36,03",LW,29,2544,25,6,5.731132075471698,162,"37,7%","15,4%",20,102,424,82,0.8844339622641509,1.2028301886792454,1.5919811320754718,6,2,"75,0%"
Gabriel Barbosa,2019/2020 - Flamengo,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,29,2544,25,8,4.139150943396226,117,"53,0%","21,4%",16,102,318,77,1.3797169811320755,0.6014150943396227,1.025943396226415,5,,"100,0%"
Lionel Messi,2019/2020 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,33,2880,25,21,4.96875,159,"44,7%","15,7%",13,115,137,63,5.6875,0.40624999999999994,2.1875,5,,"100,0%"
Romelu Lukaku,2016/2017 - Everton,English Premier League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,37,3267,25,6,3.0303030303030303,110,"50,0%","22,7%",7,131,545,105,1.7355371900826446,0.9917355371900827,0.9366391184573003,1,,"100,0%"
Mauro Icardi,2016/2017 - Internazionale,Italian Serie A,€,41.5,Paris Saint-Germain FC,Argentina,"27,99",FW,34,3029,24,8,3.238692637834268,109,"34,9%","22,0%",12,126,379,95,0.38626609442060084,0.6239683063717398,0.9805216242984481,3,1,"75,0%"
