Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,goal_assist,total_att_assist,Passes per 90 mins weighted by mins_played per _Season - Club - Competition,Pass success weighted by total_pass per _Season - Club - Competition,total_pass,Pass success final third weighted by total_pass per _Season - Club - Competition,total_final_third_passes,Cross accuracy weighted by total_cross_nocorner per _Season - Club - Competition,total_cross_nocorner
Kylian Mbappé,2016/2017 - Monaco,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,1500,8,31,"20,3",73%,339,69%,201,"20,0%",25
Kylian Mbappé,2016/2017 - Monaco,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,9,536,,6,"15,1",83%,90,78%,50,"22,2%",9
Kylian Mbappé,2017/2018 - Monaco,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,1,75,,,"32,4",70%,27,46%,13,,2
Kylian Mbappé,2017/2018 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,27,2097,8,52,"28,6",83%,666,75%,348,"25,0%",40
Kylian Mbappé,2017/2018 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,8,658,3,14,"36,1",81%,264,73%,129,"20,0%",10
Kylian Mbappé,2018/2019 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,2342,7,47,"29,9",79%,779,72%,447,"25,0%",24
Kylian Mbappé,2018/2019 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,8,701,5,16,"29,3",81%,228,74%,129,"14,3%",7
Kylian Mbappé,2019/2020 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,20,1514,5,40,"35,8",80%,602,72%,341,"14,9%",47
Kylian Mbappé,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,10,652,5,13,"33,7",85%,244,81%,112,"7,7%",13
Kylian Mbappé,2020/2021 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,9,606,4,13,"38,6",82%,260,73%,148,"7,7%",13
Kylian Mbappé,2020/2021 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,5,449,2,8,"30,5",78%,152,72%,87,"25,0%",4
Harry Kane,2016/2017 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,30,2531,7,41,"21,2",72%,597,69%,334,"17,2%",29
Harry Kane,2016/2017 - Tottenham Hotspur,UEFA Champions League,€,125,Tottenham Hotspur FC,England,"27,55",FW,3,263,,7,"25,7",75%,75,66%,41,"66,7%",3
Harry Kane,2016/2017 - Tottenham Hotspur,UEFA Europa League,€,125,Tottenham Hotspur FC,England,"27,55",FW,2,180,,5,"29,0",84%,58,88%,32,,3
Harry Kane,2017/2018 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,37,3083,2,33,"19,2",71%,657,63%,397,"15,0%",20
Harry Kane,2017/2018 - Tottenham Hotspur,UEFA Champions League,€,125,Tottenham Hotspur FC,England,"27,55",FW,7,597,2,14,"14,8",79%,98,75%,59,,4
Harry Kane,2018/2019 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,28,2427,4,30,"20,4",73%,551,68%,302,"33,3%",12
Harry Kane,2018/2019 - Tottenham Hotspur,UEFA Champions League,€,125,Tottenham Hotspur FC,England,"27,55",FW,9,777,1,10,"20,0",78%,173,68%,92,,4
Harry Kane,2019/2020 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,29,2589,2,27,"19,2",67%,553,61%,301,"21,1%",19
Harry Kane,2019/2020 - Tottenham Hotspur,UEFA Champions League,€,125,Tottenham Hotspur FC,England,"27,55",FW,5,450,0,4,"19,6",76%,98,75%,55,"20,0%",5
Harry Kane,2020/2021 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,11,984,10,22,"24,5",71%,268,67%,145,"33,3%",6
Harry Kane,2020/2021 - Tottenham Hotspur,UEFA Europa League,€,125,Tottenham Hotspur FC,England,"27,55",FW,3,108,2,4,"36,7",73%,44,71%,31,,0
Raheem Sterling,2016/2017 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,33,2515,6,46,"37,0",80%,1034,75%,536,"7,5%",80
Raheem Sterling,2016/2017 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,7,577,3,14,"34,2",84%,219,78%,113,"19,0%",21
Raheem Sterling,2017/2018 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,33,2592,11,55,"40,6",84%,1170,78%,632,"16,7%",36
Raheem Sterling,2017/2018 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,8,495,1,9,"37,5",81%,206,76%,99,"12,5%",8
Raheem Sterling,2018/2019 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,34,2776,10,66,"40,9",86%,1263,79%,659,"14,5%",62
